a	A
aa	a a
abaisse	a b E s
abaissement	a b E s m A~
abaisser	a b e s e
abaissé	a b e s e
abandon	a b A~ d O~
abandonner	a b A~ d O n e
abattoir	a b a t w a R
abattre	a b a t R
abbatial	a b a s j a l
abbaye	a b e i
abbesse	a b E s
abbé	a b e
abc	a b e s e
abcès	a p s E
abdication	a b d i k a s j O~
abdomen	a b d O m E n
abdominal	a b d O m i n a l
abdominale	a b d O m i n a l
abdominales	a b d O m i n a l
abdominaux	a b d O m i n o
abeille	a b E j
abeilles	a b E j
abies	a b j E s
abolir	a b O l i R
abolition	a b O l i s j O~
abolitionniste	a b O l i s j O n i s t
abondamment	a b O~ d a m A~
abondance	a b O~ d A~ s
abondant	a b O~ d A~
abonnement	a b O n m A~
abonné	a b O n e
abord	a b O R
abordable	a b O R d a b l
aborder	a b O R d e
aborigène	a b O R i Z E n
aboutir	a b u t i R
aboutira	a b u t i R a
aboutirent	a b u t i R
aboutis	a b u t i
aboutissait	a b u t i s E
aboutissant	a b u t i s A~
aboutissement	a b u t i s m A~
aboutissent	a b u t i s
aboutit	a b u t i
abri	a b R i
abriter	a b R i t e
abrupt	a b R y p t
abrégé	a b R e Z e
abréviation	a b R e v j a s j O~
absence	a p s A~ s
absent	a p s A~
absolu	a p s O l y
absolue	a p s O l y
absolues	a p s O l y
absolument	a p s O l y m A~
absolus	a p s O l y
absorbant	a p s O R b A~
absorber	a p s O R b e
absorption	a p s O R p s j O~
abstraction	a p s t R a k s j O~
abstrait	a p s t R E
absurde	a p s y R d
abus	a b y
abuser	a b y z e
abusif	a b y z i f
abusivement	a b y z i v m A~
abyme	a b i m
abîme	a b i m
acacia	a k a s j a
académicien	a k a d e m i s j E~
académie	a k a d e m i
académique	a k a d e m i k
acajou	a k a Z u
acarien	a k a R j E~
accent	a k s A~
accentuer	a k s A~ t H e
acceptable	a k s E p t a b l
acceptant	a k s E p t A~
accepter	a k s E p t e
acception	a k s E p s j O~
acceptions	a k s E p s j O~
accepté	a k s E p t e
accessible	a k s e s i b l
accessibles	a k s E s i b l
accessoire	a k s e s w a R
accident	a k s i d A~
accidentel	a k s i d A~ t E l
accidentellement	a k s i d A~ t E l m A~
accidenté	a k s i d A~ t e
acclamation	a k l a m a s j O~
acclamé	a k l a m e
accolade	a k O l a d
accolé	a k O l e
accompagnateur	a k O~ p a J a t 9 R
accompagnement	a k O~ p a J m A~
accompagner	a k O~ p a J e
accompli	a k O~ p l i
accomplir	a k O~ p l i R
accomplissant	a k O~ p l i s A~
accomplissement	a k O~ p l i s m A~
accomplissent	a k O~ p l i s
accomplit	a k O~ p l i
accord	a k O R
accorder	a k O R d e
accordé	a k O R d e
accordée	a k O R d e
accordéon	a k O R d e O~
accordéoniste	a k O R d e O n i s t
accoster	a k O s t e
accosté	a k O s t e
accouchement	a k u S m A~
accoucher	a k u S e
accouplement	a k u p l @ m A~
accrocher	a k R O S e
accroissement	a k R w a s m A~
accroître	a k R w a t R
accueil	a k 9 j
