ALES	a_" l e s
Ada'ya	a d a j_" a_"
Adamlar	a d a m 5_" a_" r`_"
Adana	a d_" a_" n a
Adapazarı'ndan	a d_" a_" p a z a r 1 n d a n
Adem	a:_" d e m
Ahmet'i	a h m e t_" i_"
Ahmet'i	a m e t_" i_"
Ahmet'le	a h m e t l_" e_"
Ahmet'le	a m e t l_" e_"
Ahmet	a h m_" e_" t_"
Ahmet	a m_" e_" t_"
Akasya	a k_" a_" s_" j a
Akif	a:_" c i f
Aksaray'a	a k s a r a j_" a_"
Akyüz	a_" k_" j y z
Akın'la	a_" k 1 n 5 a
Akın'ın	a_" k 1 n 1 n
Akın	a_" k 1 n
Alaaddin'in	a l a: d d i n_" i_" n_"
Alaaddin'le	a l a: d d_" i_" n_" l e
Alaaddin	a l_" a:_" a d d i n
Alaz'ı	a 5 a z_" 1_"
Alex	a_" l e c s
Ali'yle	a l i j l_" e_"
Ali	a l_" i_"
Alican'dan	a l i dZ a n d_" a_" n_"
Alican	a l i dZ_" a_" n_"
Aliciğim	a l_" i_" dZ i: m
Alişko'yla	a l_" i_" S_" k o j 5 a
Allah'a	a 5 5 a a_"
Allah'a	a 5 5 a h_" a_"
Allah'tan	a 5 5 a h t_" a_" n_"
Allah'tan	a 5 5 a t_" a_" n_"
Allah'ı	a 5 5 a 1_"
Allah'ı	a 5 5 a h_" 1_"
Allah'ım	a 5 5 a 1_" m_"
Allah'ım	a 5 5 a h_" 1_" m_"
Allah'ıma	a 5 5 a 1 m_" a_"
Allah'ıma	a 5 5 a h 1 m_" a_"
Allah'ın	a 5 5 a 1_" n_"
Allah'ın	a 5 5 a h_" 1_" n_"
Allah'ını	a 5 5 a 1 n_" 1_"
Allah'ını	a 5 5 a h 1 n_" 1_"
Allah	a 5 5_" a_"
Allah	a 5 5_" a_" h_"
Alman	a 5 m_" a_" n_"
Almanya'daki	a 5 m_" a_" n_" j a d a c i
Alto	a_" 5_" t o
Altıngül'le	a 5 t_" 1_" n_" gj y l l e
Amasya'dayım	a m_" a_" s_" j a d a j 1 m
Amerika'dan	a m e r i k a d_" a_" n_"
